mus_vis_2015;nights_2015;beds_2015;stud_high_edu_2015;low_edu_2015;mid_edu_2015;high_edu_2015;prop_workers_mid_edu;prop_pop_high_edu;private_house_2015;pop_private_house_2015;one_pers_house_2015;n_house_2015;housholds_living;households_owning;av_size_house;pop;pop_male;pop_fem;pop_04;pop_over75;total_employment;unemployment_rate
103.552;299.223;2.820;23.336;28.341;41.869;27.504;42,7;28;77.713;170.144;26.944;74.768;71.444;48.313;2,2;190.284;90.349;99.935;8.547;22.874;79.730;5,6
714.878;2.498.541;38.654;956;32.620;37.147;15.579;43;18;74.380;158.303;25.089;95.586;69.780;53.178;2,1;159.542;76.080;83.462;6.289;20.795;41.655;11
360.237;385.626;3.654;6.718;32.447;39.789;18.046;43,9;19,9;64.915;131.950;23.864;75.186;63.215;45.597;2;171.655;83.279;88.376;8.658;17.853;70.643;9,4
165.585;6.916.643;73.920;2.912;29.544;40.302;15.522;47,2;18,2;65.928;146.582;20.018;70.375;59.633;41.683;2,2;158.911;76.848;82.063;6.505;20.700;52.634;6,4
683.389;898.789;7.803;14.915;21.482;32.825;19.377;43,9;25,9;49.789;121.764;12.727;59.999;46.490;34.188;2,4;133.682;62.546;71.136;4.592;19.589;39.293;7
68.208;215.602;1.752;5.205;24.973;35.160;16.710;45,6;21,7;55.538;121.745;17.253;58.117;52.323;38.729;2,2;147.578;70.535;77.043;6.396;17.616;54.099;8,3
244.761;535.444;4.254;1.142;26.518;28.755;11.299;42,6;16,7;57.166;117.530;22.344;60.443;53.571;35.149;2,1;122.503;60.029;62.474;5.501;11.138;22.681;17,9
17.625;196.021;1.500;1.928;18.018;28.804;17.337;44,1;26,5;52.366;116.935;16.815;56.967;50.690;35.638;2,2;122.367;58.603;63.764;5.103;15.356;42.604;7,1
32.565;173.831;5.005;13.475;16.458;25.651;19.000;41,7;30,9;58.017;125.850;11.974;53.523;45.995;34.345;2,2;119.002;55.587;63.415;4.787;15.915;61.057;6,8
251.664;500.734;3.882;5.255;21.717;28.465;13.441;44,7;21,1;51.860;111.509;18.856;58.068;49.712;32.610;2,2;118.255;56.853;61.402;5.142;15.902;43.591;7
64.618;220.905;2.856;3.452;22.567;31.539;13.399;46,6;19,8;51.816;111.357;15.978;53.999;48.247;34.460;2,1;125.496;60.543;64.953;6.097;11.433;38.942;12,2
57.508;159.243;1.548;4.636;19.416;26.399;14.196;43,2;23,2;47.993;103.104;15.903;48.317;45.257;30.683;2,1;113.599;53.749;59.850;4.694;14.142;45.315;8,5
:;164.797;3.942;1.601;17.791;28.556;12.596;48;21,2;40.891;122.306;5.533;39.531;34.945;20.455;3;112.133;52.703;59.430;4.332;14.916;31.681;10,9
25.359;123.103;1.318;6.539;20.360;24.096;11.703;42,3;20,6;44.099;93.054;14.497;46.662;40.869;26.730;2,1;104.452;50.101;54.351;4.521;12.721;31.994;9,5
176.347;301.136;3.926;0;32.920;21.034;6.689;34,6;11;44.044;99.264;13.672;45.623;42.102;29.968;2,3;121.201;59.765;61.436;7.313;5.103;14.642;24
37.613;1.127.238;18.639;2.971;18.990;21.560;8.355;43,5;16,9;37.204;81.571;11.513;42.733;34.458;26.159;2,2;93.963;44.710;49.253;3.861;12.308;29.076;9,9
48.381;148.592;1.600;1.237;19.130;23.576;11.019;43,4;20,3;35.761;88.110;9.391;38.814;34.739;24.084;2,5;99.434;47.502;51.932;4.064;12.540;34.903;9,2
42.859;222.228;2.189;172;16.081;19.217;8.446;43,5;19,1;27.838;68.141;7.946;37.079;27.316;19.043;2,4;81.837;38.856;42.981;3.248;9.905;20.909;8,5
4.000;544.136;9.001;1.701;22.412;19.983;7.051;40,6;14,3;30.475;72.902;8.133;46.297;28.219;22.415;2,4;88.667;42.333;46.334;3.776;8.386;22.663;20,2
258.284;25.700;897;1.027;17.718;14.562;5.002;39;13,4;35.122;100.198;5.921;37.088;34.079;23.824;2,9;69.182;33.414;35.768;2.745;7.242;13.563;18,8
63.426;68.286;920;952;15.526;15.865;7.312;41,5;19,1;20.771;55.945;3.850;23.874;19.570;13.354;2,7;73.030;35.204;37.826;3.127;8.268;18.693;13,4
15.188;134.405;2.333;0;35.721;14.498;4.708;26,5;8,6;30.498;68.952;8.371;30.107;26.577;16.692;2,3;100.518;49.555;50.963;4.928;7.411;19.102;21,7
